kepoi_name,koi_disposition,koi_period,koi_prad,koi_teq,koi_insol,koi_steff,koi_slogg
K00671.03,CONFIRMED,16.25951967,1.72,880.0,142.1,5966.0,4.169
K00671.04,CONFIRMED,11.1317901,1.47,999.0,235.55,5966.0,4.169
K00719.02,CONFIRMED,28.1224393,0.9,401.0,6.13,4499.0,4.635
K00111.01,CONFIRMED,11.42755098,2.35,852.0,124.31,5979.0,4.394
K00719.03,CONFIRMED,45.9029768,1.18,341.0,3.19,4499.0,4.635
K00719.04,CONFIRMED,4.159816554,0.86,759.0,78.4,4499.0,4.635
K00720.01,CONFIRMED,5.69059163,3.1,860.0,129.31,5244.0,4.538
K00097.01,CONFIRMED,4.885488596,16.66,1496.0,1182.79,6036.0,3.968
K00620.02,CONFIRMED,130.1780296,10.44,367.0,4.31,6046.0,4.486
K00620.03,CONFIRMED,85.3162004,6.34,423.0,7.57,6046.0,4.486
K00621.01,CANDIDATE,17.76199841,14.25,538.0,19.78,5088.0,4.612
K00622.01,CANDIDATE,155.042265,26.44,511.0,16.15,4994.0,3.509
K00623.01,CONFIRMED,10.34973276,1.44,930.0,177.25,6003.0,4.303
K00672.01,CONFIRMED,16.08786246,2.56,668.0,47.17,5506.0,4.473
K07638.01,CANDIDATE,25.0032023,1.47,837.0,116.27,6148.0,4.055
K00672.02,CONFIRMED,41.74938613,2.94,486.0,13.22,5506.0,4.473
K00673.01,CONFIRMED,4.41746257,3.95,1810.0,2536.07,6570.0,3.86
K00105.01,CONFIRMED,8.981014925,3.14,880.0,141.77,5666.0,4.362
K00674.01,CONFIRMED,16.33888067,10.47,963.0,203.31,4877.0,3.645
K00720.02,CONFIRMED,10.04157214,2.97,712.0,60.74,5244.0,4.538
K00720.03,CONFIRMED,18.36974658,3.58,582.0,27.14,5244.0,4.538
K00720.04,CONFIRMED,2.79590004,1.66,1090.0,333.31,5244.0,4.538
K00721.01,CONFIRMED,13.72462702,2.13,831.0,112.82,5817.0,4.293
K00722.01,CONFIRMED,46.40626,2.66,588.0,28.23,6086.0,4.276
K07634.01,CANDIDATE,80.84069,15.11,500.0,14.83,5511.0,4.069
K00623.02,CONFIRMED,15.67750191,1.42,810.0,101.79,6003.0,4.303
K00623.03,CONFIRMED,5.59931543,1.22,1142.0,402.39,6003.0,4.303
K00623.04,CONFIRMED,25.2100146,0.95,691.0,54.06,6003.0,4.303
K00624.01,CONFIRMED,17.79001678,2.7,655.0,43.5,5569.0,4.474
K00624.02,CONFIRMED,49.5674085,2.91,465.0,11.09,5569.0,4.474
K00098.01,CONFIRMED,6.790120801,9.86,1434.0,998.97,6372.0,3.954
K00676.01,CONFIRMED,7.972510087,3.22,497.0,14.45,3912.0,4.728
K00676.02,CONFIRMED,2.453236139,2.26,737.0,69.36,3912.0,4.728
K00678.01,CONFIRMED,6.0404622,1.3,841.0,118.56,5297.0,4.578
K00678.02,CONFIRMED,4.13852825,1.3,954.0,196.51,5297.0,4.578
K00723.01,CONFIRMED,3.936993144,3.36,1004.0,240.16,5431.0,4.563
K00723.02,CONFIRMED,28.08185982,3.63,522.0,17.52,5431.0,4.563
K00111.02,CONFIRMED,23.66834635,2.32,668.0,47.11,5979.0,4.394
K00723.03,CONFIRMED,10.08881066,4.71,734.0,68.62,5431.0,4.563
K07635.01,CANDIDATE,60.458443,1.59,511.0,16.14,5865.0,4.297
K00624.03,CONFIRMED,1.311842968,1.43,1562.0,1410.6,5569.0,4.474
K00626.01,CONFIRMED,14.58649856,2.45,852.0,124.89,6063.0,4.29
K00626.02,CANDIDATE,8.0292018,0.99,1040.0,276.27,6063.0,4.29
K00627.01,CONFIRMED,7.75192755,1.89,852.0,124.47,5604.0,4.52
K00679.01,CONFIRMED,31.80475991,2.99,664.0,45.9,5867.0,4.235
K00679.02,CONFIRMED,16.2580276,0.92,830.0,112.41,5867.0,4.235
K00680.01,CONFIRMED,8.600153929,26.52,1703.0,1986.75,6093.0,3.475
K04066.01,CANDIDATE,126.55719,4.59,524.0,17.85,6501.0,4.054
K02289.02,CONFIRMED,20.0983676,1.58,775.0,85.34,6053.0,4.279
K04136.01,CANDIDATE,2.41750021,1.19,1507.0,1221.36,5575.0,4.189
K04136.02,CANDIDATE,4.03357434,1.23,1270.0,616.04,5575.0,4.189
K02220.04,CANDIDATE,7.66462913,1.6,1106.0,353.31,5640.0,4.087
K04067.01,CANDIDATE,9.6887216,3.09,1014.0,250.25,6457.0,4.358
K04068.01,CONFIRMED,19.597317,3.78,671.0,47.9,5569.0,4.368
K04069.01,CANDIDATE,13.06243545,1.36,527.0,18.25,4522.0,4.615
K04139.01,CONFIRMED,3.74031708,1.38,1287.0,646.81,6260.0,4.433
K04072.01,CONFIRMED,0.692978457,2.24,3186.0,24240.83,6105.0,3.805
K04144.01,CANDIDATE,0.487656278,0.99,2299.0,6647.8,5957.0,4.506
K02298.02,CONFIRMED,31.8055128,0.63,378.0,4.84,4729.0,4.726
K04145.01,CANDIDATE,3.25424652,0.96,1220.0,521.81,5692.0,4.421
K04146.01,CONFIRMED,3.50472344,0.8,1019.0,254.49,5115.0,4.477
K04076.01,CONFIRMED,124.827797,2.57,350.0,3.56,5349.0,4.353
K02220.05,CANDIDATE,11.9294568,1.05,797.0,95.42,5975.0,4.48
K04149.01,CANDIDATE,9.54699216,1.71,996.0,232.24,6274.0,4.357
K04149.02,CANDIDATE,14.708641,1.82,862.0,130.5,6274.0,4.357
K04150.01,CANDIDATE,31.3351094,1.99,666.0,46.53,6404.0,4.393
K04084.01,CONFIRMED,214.881456,2.68,286.0,1.59,5323.0,4.378
K04156.01,CANDIDATE,4.85018974,1.1,1098.0,344.04,6032.0,4.485
K04157.01,CANDIDATE,3.82315697,0.77,1282.0,638.38,6202.0,4.422
K00255.02,CANDIDATE,13.6032081,0.75,397.0,5.85,3780.0,4.746
K02243.02,CONFIRMED,8.45805119,2.52,1117.0,367.05,6172.0,4.198
K04087.01,CONFIRMED,101.1107014,1.61,229.0,0.65,4133.0,4.705
K04166.01,CANDIDATE,9.84262076,2.41,801.0,97.62,5585.0,4.49
K00435.05,CONFIRMED,62.3026877,3.05,454.0,10.05,5688.0,4.415
K02175.02,CONFIRMED,72.3826983,4.21,575.0,25.83,5508.0,3.897
K04021.01,CANDIDATE,7.23531329,1.53,1207.0,501.36,6422.0,4.219
K04091.01,CONFIRMED,225.585245,3.71,348.0,3.48,5929.0,4.243
K04092.01,CONFIRMED,24.4972683,2.74,722.0,64.25,6392.0,4.399
K04152.01,CANDIDATE,64.1862264,8.0,839.0,116.97,6951.0,3.766
K04153.01,CANDIDATE,4.62602867,1.65,1012.0,247.34,5834.0,4.566
K02303.02,CANDIDATE,8.93484887,1.83,1124.0,377.25,6688.0,4.304
K04021.02,CANDIDATE,4.93211932,1.02,1372.0,837.01,6422.0,4.219
K04022.01,CANDIDATE,4.85819429,2.04,1685.0,1904.91,6109.0,3.78
K04024.01,CONFIRMED,8.40693068,1.95,1048.0,285.67,5365.0,4.02
K07644.01,CANDIDATE,3.39904814,0.81,1191.0,477.15,5766.0,4.444
K02250.02,CANDIDATE,0.626281766,1.76,1711.0,2011.27,4922.0,4.505
K07648.01,CANDIDATE,1.183505016,0.8,1293.0,658.87,4832.0,4.592
K04097.01,CANDIDATE,2.790643481,0.99,816.0,104.74,4353.0,4.681
K04159.01,CONFIRMED,0.971915957,0.79,1609.0,1591.27,5196.0,4.458
K04160.01,CONFIRMED,3.03196812,0.9,1269.0,614.2,5755.0,4.402
K02357.02,CANDIDATE,15.9042402,3.79,863.0,131.11,5583.0,4.077
K02193.02,CANDIDATE,4.16288745,1.32,763.0,80.23,4478.0,4.615
K04097.02,CANDIDATE,4.44902309,0.55,699.0,56.19,4353.0,4.681
K04098.01,CANDIDATE,1.121733366,2.39,2384.0,7641.15,5023.0,3.682
K04099.01,CANDIDATE,4.95060632,1.28,885.0,145.23,5431.0,4.623
K04169.01,CONFIRMED,1.005205893,0.85,1682.0,1893.23,5718.0,4.549
K04032.01,CONFIRMED,3.95116635,0.83,1160.0,427.07,5574.0,4.354
K04032.02,CONFIRMED,2.89223998,0.7,1287.0,647.55,5574.0,4.354
K07641.01,CANDIDATE,3.79437277,1.36,1383.0,865.53,5455.0,4.025
